name;website;country;location;theme;tags;period;public;organization;contacts
festival dell'acqua;https://acquafestival.it;Italy;Piazza Dante Alighieri, 26, 34079 Staranzano GO;environment;"science;environment;water";may;"general public;school";;info@acquafestival.it
Po River Blue Fest;https://www.lifeclimaxpo.adbpo.it/po-river-blue-fest-programma/;Italy;Via Giuseppe Petroni, 9, 40126 Bologna BO;environment;"science;environment;water";may;"general public;school";;climaxpo@adbpo.it
Supersonix;https://www.supersonix.it;Italy;Via Antonio Gramsci, 4, 10121 Torino TO;science;"science;art";october;general public;;
Teatro della Meraviglia - Festival di Teatro e Scienza;https://www.teatrodellameraviglia.it;Italy;Via Papiria 8 38100 Trento;science;"science;art";december;general public;;biglietteria@teatroportland.it
Biennale Democrazia;https://biennaledemocrazia.it/;Italy;Corso Castelfidardo 30/a, Torino, TO;society;"society;democracy";march;"general public;school";;
BFest - Piccolo Festival della Biodiversità;https://www.bfest.it/;Italy;Parco Santa Maria 42121 Reggio Emilia RE;environment;"science;environment;biodiversity";september;"general public;school";;
Festival della Biodiversità;https://www.festivalbiodiversita.it;Italy;Via Gian Carlo Clerici, 150, 20099 Sesto San Giovanni MI;environment;"science;environment;biodiversity";june;general public;;
Diversimili;https://www.diversimili.it;Italy;Via Brigata Re, 29, 33100 Udine UD;environment;"science;environment;biodiversity";may;"general public;school";;info@kaleidoscienza.it
L'Uomo e il Clima;https://uomoeclima.org;Switzerland;Riva Antonio Caccia 5, 6900 Lugano;environment;"science;environment;climate";november - may;general public;;segreteria@uomoeclima.org
Internet Festival;https://www.internetfestival.it;Italy;Piazza dei Cavalieri, 7, 56126 Pisa PI;technology;"science;technology";october;"general public;school;business";;
Festival Scienza Verona;https://www.festivalscienzaverona.it;Italy;Via Campagnol, 9, 37066 Sommacampagna VR;environment;"science;agriculture;food";may;general public;;
GeoCult;https://leccotourism.it/geocult/;Italy;Piazza Giuseppe Garibaldi, 23900, Lecco LC;environment;"science;environment;geology";may;general public;;infopointlecco@comune.lecco.it
Artropocene Festival;https://artropocenefestival.odoo.com/website;Italy;Via dei Colli, 28, 35143 Padova PD;science;"science;biodiversity;animals";may;general public;;segreteria@micromegamondo.com
Cittàbusiness - Festival dei Territori Industriali;https://www.festivalcittabusiness.it;Italy;Piazza delle Istituzioni, 7, 31100 Treviso TV;society;"society;economy";march;business;;
Festival Meteorologia;https://event.unitn.it/festivalmeteorologia2024/;Italy;Corso Bettini 43, 38068 Rovereto TN;environment;"science;environment;climate;meteorology";november;"general public;school";;info@festivalmeteorologia.it
Cosa abbiamo in comune;https://pattoletturabo.comune.bologna.it/events/cosa-abbiamo-in-comune-2024;Italy;P.za Lucio Dalla, 40129 Bologna BO;education;"science;teaching";october;"general public;school";;
