name;website;country;location;theme;tags;period;public;organization;contacts;lat;lon
festival dell'acqua;https://acquafestival.it;Italy;Piazza Dante Alighieri, 26, 34079 Staranzano GO;environment;"science;environment;water";may;"general public;school";;info@acquafestival.it;45.8059;13.499797
Po River Blue Fest;https://www.lifeclimaxpo.adbpo.it/po-river-blue-fest-programma/;Italy;Via Giuseppe Petroni, 9, 40126 Bologna BO;environment;"science;environment;water";may;"general public;school";;climaxpo@adbpo.it;44.494888;11.351854
Supersonix;https://www.supersonix.it;Italy;Via Antonio Gramsci, 4, 10121 Torino TO;science;"science;art";october;general public;;;45.064973;7.679568
Teatro della Meraviglia - Festival di Teatro e Scienza;https://www.teatrodellameraviglia.it;Italy;Via Papiria 8 38100 Trento;science;"science;art";december;general public;;biglietteria@teatroportland.it;46.070131;11.111816
Biennale Democrazia;https://biennaledemocrazia.it/;Italy;Corso Castelfidardo 30/a, Torino, TO;society;"society;democracy";march;"general public;school";;;45.065246;7.657786
BFest - Piccolo Festival della Biodiversità;https://www.bfest.it/;Italy;Parco Santa Maria 42121 Reggio Emilia RE;environment;"science;environment;biodiversity";september;"general public;school";;;44.700863;10.637126
Festival della Biodiversità;https://www.festivalbiodiversita.it;Italy;Via Gian Carlo Clerici, 150, 20099 Sesto San Giovanni MI;environment;"science;environment;biodiversity";june;general public;;;42.638426;12.674297
Diversimili;https://www.diversimili.it;Italy;Via Brigata Re, 29, 33100 Udine UD;environment;"science;environment;biodiversity";may;"general public;school";;info@kaleidoscienza.it;46.073837;13.254859
L'Uomo e il Clima;https://uomoeclima.org;Switzerland;Riva Antonio Caccia 5, 6900 Lugano;environment;"science;environment;climate";november - may;general public;;segreteria@uomoeclima.org;45.995711;8.947119
Internet Festival;https://www.internetfestival.it;Italy;Piazza dei Cavalieri, 7, 56126 Pisa PI;technology;"science;technology";october;"general public;school;business";;;43.719686;10.400398
Festival Scienza Verona;https://www.festivalscienzaverona.it;Italy;Via Campagnol, 9, 37066 Sommacampagna VR;environment;"science;agriculture;food";may;general public;;;45.405199;10.849019
GeoCult;https://leccotourism.it/geocult/;Italy;Piazza Giuseppe Garibaldi, 23900, Lecco LC;environment;"science;environment;geology";may;general public;;infopointlecco@comune.lecco.it;45.853209;9.389925
Artropocene Festival;https://artropocenefestival.odoo.com/website;Italy;Via dei Colli, 28, 35143 Padova PD;science;"science;biodiversity;animals";may;general public;;segreteria@micromegamondo.com;45.39746;11.83561
Cittàbusiness - Festival dei Territori Industriali;https://www.festivalcittabusiness.it;Italy;Piazza delle Istituzioni, 7, 31100 Treviso TV;society;"society;economy";march;business;;;45.66898;12.229339
Festival Meteorologia;https://event.unitn.it/festivalmeteorologia2024/;Italy;Corso Bettini 43, 38068 Rovereto TN;environment;"science;environment;climate;meteorology";november;"general public;school";;info@festivalmeteorologia.it;45.894003;11.045023
Cosa abbiamo in comune;https://pattoletturabo.comune.bologna.it/events/cosa-abbiamo-in-comune-2024;Italy;P.za Lucio Dalla, 40129 Bologna BO;education;"science;teaching";october;"general public;school";;;44.510835;11.339964
Dedica Festival Pordenone;https://dedicafestival.it/;Italy;Via della Motta, 13, 33170 Pordenone PN;humanities;"humanities;literature";march;"general public;school";;info@dedicafestival.it;45.95551;12.661155
Didacta;https://exhibitor.fieradidacta.it;Italy;Piazza III Novembre, 5, 38066 Riva del Garda TN;education;"science;teaching";october;"general public;teachers";;cassese.didacta@firenzefiera.it;42.638426;12.674297
DIG Festival;https://dig-awards.org/programma-2024/;Italy;Via Santa Chiara, 14, 41121 Modena MO;journalism;"humanities;journalism";september;general public;;;44.645966;10.921923
Festival del Verde e del Paesaggio;https://www.festivaldelverdeedelpaesaggio.it;Italy;Via Pietro de Coubertin, 30, 00196 Roma RM;environment;"science;environment;landscape";may;"general public;school";;info@festivaldelverdeedelpaesaggio.it;41.929395;12.472017
Trieste Next - Festival della Ricerca Scientifica;https://www.triestenext.it;Italy;Piazza Luigi Amedeo Duca degli Abruzzi, 3, Trieste, TS;science;"science;research;innovation";september;"general public;school;business";;;45.654069;13.769949
Emilia Food Fest;https://www.emiliafoodfest.it/;Italy;Piazza Martiri, 41012 Carpi MO;environment;"science;agriculture;food";september;general public;;;44.783353;10.885297
Bologna Medicina - Festival della Scienza Medica;https://bolognamedicina.it;Italy;Via Castiglione 36, Bologna BO;medicine;"science;medicine";november;general public;;;44.489488;11.347468
Athens Science Festival;https://www.athens-science-festival.gr/en/festival/;Greece;Pireos 100, Athina 118 54, Greece;science;science;april;general public;;schools@athens-science-festival.gr;38.995368;21.987713
CarpInScienza;https://www.carpinscienza.it;Italy;Piazza Martiri, 72, 41012 Carpi MO;;science;september;"general public;school";;;44.782496;10.885161
Festa del Racconto;https://www.festadelracconto.it;Italy;Via S. Rocco, 1, 41012 Carpi MO;science;"humanities;literature";october;"general public;school";;;42.638426;12.674297
Cheltenham Science Festival;https://www.cheltenhamfestivals.org/festivals/science-festival;UK;Imperial Square, Cheltenham GL50 1QA, Regno Unito;science;science;june;"general public;school";;boxoffice@cheltenhamfestivals.org;51.897517;-2.077622
CICAP Fest;https://www.cicapfest.it/;Italy;Via VIII Febbraio, 2, 35122 Padova PD;science;science;october;"general public;school";;;45.40665;11.877441
Festa Internazionale della Storia;https://site.unibo.it/festadellastoria/it;Italy;Via Zamboni, 33, 40126 Bologna BO;humanities;history;april;"general public;school";;;44.496507;11.352551
Festambiente Sud;https://festambientesud.it;Italy;Via della Grotta, 14. Rignano Garganico FG;environment;"science;environment;sustainability";july - august;general public;;festambientesud@gmail.com;42.638426;12.674297
Edinburgh Science;https://www.edinburghscience.co.uk;UK;Chambers St, Edinburgh EH1 1JF, Regno Unito;science;science;april;"general public;school";;marketing@scifest.co.uk;55.947417;-3.189924
Esperienza InSegna;https://www.esperienzainsegna.it;Italy;Viale delle Scienze, 90128 Palermo PA;science;science;april;"general public;school";;;38.103707;13.348685
Festa della Scienza;https://www.festadellascienza.it;Italy;Via E. De Nicola, 26, 73043 Copertino LE;science;science;may;"general public;school";;festadellascienza@gmail.com;42.638426;12.674297
Festival dei caffè scientifici Italiani;https://rete.caffescienza.it/festival-dei-caffè-scientifici-Italyni/SFCSI;Italy;Via Giovanni Sansone, 1, 50019 Sesto Fiorentino FI;science;science;january - february;general public;;;43.81969;11.1925
Festival della Meraviglia;https://festivaldellameraviglia.org;Italy;Via Roma, 16, 21014 Laveno-Mombello VA;science;science;may - june;general public;;festivaldellameraviglia2023@gmail.com;45.91232;8.618758
Festival della Scienza Alto Vicentino;https://www.fesav.it;Italy;Via Pasubio, 52, 36015 Schio VI;science;science;october;"general public;school";;;45.714263;11.355679
Festival della Scienza e della Ricerca;https://www.unitus.it/terza-missione/casi-di-studio/festival-scienza-ricerca/;Italy;Via Santa Maria in Gradi, 4, 01100 Viterbo VT;science;science;september;"general public;school";;festivalscienzaericerca@unitus.it;42.413655;12.113465
Festival delle Scienze di Prati di Roma;https://www.liceomamiani.edu.it/pagine/scienza-social-festival-delle-scienze-di-prati-della-vittoria-6-7-8-ottobre-2023;Italy;Viale delle Milizie, 30 - 00192 - Roma RM;science;science;october;school;;;41.913113;12.463581
Festival delle Scoperte;https://www.festivalscoperte.it;Italy;Piazzale degli Uffizi, 6, 50122 Firenze FI;science;science;march;general public;;segreteria@festivalscoperte.it;43.768209;11.255449
Festival dell'Educazione Scientifica;https://festivaleducazionescientifica.it/;Italy;Piazza di Porta S. Donato, 1, 40127 Bologna BO;science;"science;education";february - march;"general public;school";;info@festivaleducazionescientifica.it;44.498195;11.355444
Fosforo: la Festa della Scienza;https://www.fosforoscienza.it/;Italy;Piazza, Via Ottorino Manni, 1, 60019 Senigallia AN;science;science;may;"general public;school";;info@fosforoscienza.it;42.638426;12.674297
Le Mille e una Scienza;https://milleunascienza.com;Italy;Via dei Bottai 1, 39100 Bolzano BZ;science;science;november;"general public;school";;info@milleunascienza.com;46.501118;11.357096
Lector in Scienza;https://www.uniba.it/it/eventi-alluniversita/2024/allegati/programma-lectorinscienza2024_a3.pdf;Italy;Via S. Benedetto, 70014 Conversano BA;science;science;may;general public;;;40.968038;17.115222
L'Isola di Einstein;https://www.isoladieinstein.it/;Italy;Via Isola Polvese, 06063 San Feliciano PG;science;science;september;"general public;school";;;43.117948;12.16629
Festival dell'Economia;https://www.festivaleconomia.it;Italy;Via Santa Croce, 67 - 38100 Trento TN;society;"society;economy";may;"general public;business";;;46.063353;11.124388
MantovaScienza;https://www.mantovascienza.it;Italy;Via Lorenzo Gandolfo, 11, 46100 Mantova MN;science;science;november;"general public;school";;;45.151562;10.795048
NatGeoFest;https://www.nationalgeographic.it/national-geographic-fest-2023;Italy;Piazza Tre Torri, 1/l, 20145 Milano MI;science;science;november;general public;;;45.478311;9.157058
Pensa Tu - Il Festival della Scienza e della Curiosità;https://www.pensatu.it;Italy;Via Santa Chiara, snc, 87036 Rende CS;science;science;march;"general public;school";;;42.638426;12.674297
Festival Internazionale del Giornalismo;https://www.festivaldelgiornalismo.com;Italy;Piazza IV Novembre, 1, 06123 Perugia PG;journalism;"humanities;journalism";april;general public;;;43.11207;12.388693
Pianeta Terra Festival;https://www.pianetaterrafestival.it;Italy;Via Giuseppe Valentini, 14, 59100 Prato PO;science;science;october;"general public;school";;;43.873766;11.101081
Piccolo Festival della Divulgazione;https://www.festivaldivulgazione.it/;Italy;Piazza Indipendenza 1 40016 San Giorgio di Piano, Italy;science;science;march;general public;;;44.646195;11.37612
